seed,strategy,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,TFT,Tit For Tat,3000010000000,2.375,2.3125,0.5125,0.525,0.2125
0,TFT,Tit For Tat,3000010000002,2.5,2.5,0.5375,0.5375,0.1125
0,TFT,Tit For Tat,3000010000004,2.6,2.6,0.725,0.725,0.575
0,TFT,Tit For Tat,3000010000006,2.8,2.8,0.8,0.8,0.6
0,TFT,Tit For Tat,3000010000008,2.3,2.175,0.5125,0.5375,0.3375
0,TFT,Tit For Tat,3000010000010,2.275,2.3375,0.525,0.5125,0.25
0,TFT,Tit For Tat,3000010000012,2.275,2.275,0.55,0.55,0.375
0,TFT,Tit For Tat,3000010000014,2.9125,2.85,0.875,0.8875,0.7625
0,TFT,Tit For Tat,3000010000016,2.2125,2.0875,0.4625,0.4875,0.275
0,TFT,Tit For Tat,3000010000018,2.2375,2.2375,0.5,0.5,0.2625
0,TFT,Tit For Tat,3000010000020,2.8,2.7375,0.7625,0.775,0.5375
0,TFT,Tit For Tat,3000010000022,2.6375,2.7625,0.75,0.725,0.5125
0,TFT,Tit For Tat,3000010000024,2.6375,2.6375,0.7,0.7,0.4625
0,TFT,Tit For Tat,3000010000026,2.775,2.775,0.825,0.825,0.7
0,TFT,Tit For Tat,3000010000028,2.525,2.4625,0.6625,0.675,0.5125
0,TFT,Tit For Tat,3000010000030,2.5875,2.525,0.625,0.6375,0.3375
0,TFT,Tit For Tat,3000010000032,2.0875,2.2125,0.475,0.45,0.2375
0,TFT,Tit For Tat,3000010000034,2.4125,2.475,0.625,0.6125,0.4125
0,TFT,Tit For Tat,3000010000036,2.025,1.9625,0.3875,0.4,0.1875
0,TFT,Tit For Tat,3000010000038,2.775,2.8375,0.8125,0.8,0.6125
0,TFT,Always Defect,3000010000200,1.0625,1.25,0.075,0.0375,0.0125
0,TFT,Always Defect,3000010000202,1.175,1.3625,0.1125,0.075,0.0125
0,TFT,Always Defect,3000010000204,1.0375,1.4125,0.1125,0.0375,0.0
0,TFT,Always Defect,3000010000206,1.0625,1.3125,0.0875,0.0375,0.0
0,TFT,Always Defect,3000010000208,1.0375,1.35,0.1,0.0375,0.0125
0,TFT,Always Defect,3000010000210,1.025,1.2125,0.0625,0.025,0.0125
0,TFT,Always Defect,3000010000212,1.1375,1.3875,0.1125,0.0625,0.0
0,TFT,Always Defect,3000010000214,1.075,1.2625,0.075,0.0375,0.0
0,TFT,Always Defect,3000010000216,1.1125,1.6125,0.175,0.075,0.0125
0,TFT,Always Defect,3000010000218,0.9125,1.725,0.1875,0.025,0.0
0,TFT,Always Defect,3000010000220,1.225,1.35,0.1125,0.0875,0.0125
0,TFT,Always Defect,3000010000222,1.075,1.3875,0.1125,0.05,0.0125
0,TFT,Always Defect,3000010000224,1.3125,1.4375,0.1375,0.1125,0.0
0,TFT,Always Defect,3000010000226,1.0875,1.4,0.1125,0.05,0.0
0,TFT,Always Defect,3000010000228,1.125,1.4375,0.125,0.0625,0.0
0,TFT,Always Defect,3000010000230,1.0375,1.5375,0.15,0.05,0.0125
0,TFT,Always Defect,3000010000232,1.0,1.1875,0.05,0.0125,0.0
0,TFT,Always Defect,3000010000234,1.175,1.3625,0.1125,0.075,0.0125
0,TFT,Always Defect,3000010000236,0.95,1.575,0.15,0.025,0.0
0,TFT,Always Defect,3000010000238,1.05,1.4875,0.1375,0.05,0.0125
0,TFT,Grudger,3000010000400,1.4125,1.6625,0.25,0.2,0.1375
0,TFT,Grudger,3000010000402,1.5125,1.5125,0.2375,0.2375,0.2
0,TFT,Grudger,3000010000404,1.1125,1.3,0.1,0.0625,0.0375
0,TFT,Grudger,3000010000406,1.5375,1.6,0.25,0.2375,0.1625
0,TFT,Grudger,3000010000408,1.1375,1.325,0.1,0.0625,0.0125
0,TFT,Grudger,3000010000410,1.4875,1.7375,0.3,0.25,0.2125
0,TFT,Grudger,3000010000412,1.2125,1.3375,0.125,0.1,0.0625
0,TFT,Grudger,3000010000414,1.1375,1.325,0.1125,0.075,0.05
0,TFT,Grudger,3000010000416,1.35,1.6,0.2,0.15,0.05
0,TFT,Grudger,3000010000418,1.1875,1.3125,0.1125,0.0875,0.05
0,TFT,Grudger,3000010000420,2.1,2.1,0.5,0.5,0.4
0,TFT,Grudger,3000010000422,1.2125,1.3375,0.1125,0.0875,0.025
0,TFT,Grudger,3000010000424,1.0,1.1875,0.05,0.0125,0.0
0,TFT,Grudger,3000010000426,1.425,1.55,0.225,0.2,0.15
0,TFT,Grudger,3000010000428,1.425,1.675,0.2625,0.2125,0.1625
0,TFT,Grudger,3000010000430,1.35,1.725,0.2625,0.1875,0.1375
0,TFT,Grudger,3000010000432,1.375,1.9375,0.3125,0.2,0.1125
0,TFT,Grudger,3000010000434,1.3875,1.575,0.225,0.1875,0.1375
0,TFT,Grudger,3000010000436,1.1625,1.4125,0.125,0.075,0.0125
0,TFT,Grudger,3000010000438,1.4,1.5875,0.225,0.1875,0.125
0,TFT,Joss (0.9),3000010000600,1.85,1.9125,0.3125,0.3,0.0375
0,TFT,Joss (0.9),3000010000602,1.7,1.825,0.3,0.275,0.1
0,TFT,Joss (0.9),3000010000604,2.2,2.3875,0.525,0.4875,0.225
0,TFT,Joss (0.9),3000010000606,2.05,1.9875,0.3625,0.375,0.0875
0,TFT,Joss (0.9),3000010000608,2.175,2.3625,0.5125,0.475,0.2125
0,TFT,Joss (0.9),3000010000610,2.0875,2.15,0.475,0.4625,0.2875
0,TFT,Joss (0.9),3000010000612,1.9875,2.1125,0.375,0.35,0.0375
0,TFT,Joss (0.9),3000010000614,2.35,2.4125,0.6125,0.6,0.4375
0,TFT,Joss (0.9),3000010000616,2.5875,2.7125,0.7,0.675,0.4125
0,TFT,Joss (0.9),3000010000618,1.7875,1.975,0.35,0.3125,0.1125
0,TFT,Joss (0.9),3000010000620,1.7375,1.925,0.325,0.2875,0.0875
0,TFT,Joss (0.9),3000010000622,1.7875,1.85,0.2875,0.275,0.025
0,TFT,Joss (0.9),3000010000624,2.025,2.0875,0.475,0.4625,0.35
0,TFT,Joss (0.9),3000010000626,2.6,2.6625,0.6375,0.625,0.2625
0,TFT,Joss (0.9),3000010000628,2.0625,2.0625,0.4375,0.4375,0.25
0,TFT,Joss (0.9),3000010000630,1.9,1.9,0.325,0.325,0.075
0,TFT,Joss (0.9),3000010000632,1.9875,2.175,0.4375,0.4,0.175
0,TFT,Joss (0.9),3000010000634,2.1125,2.175,0.425,0.4125,0.1125
0,TFT,Joss (0.9),3000010000636,1.5875,1.775,0.2625,0.225,0.05
0,TFT,Joss (0.9),3000010000638,1.8125,1.9375,0.375,0.35,0.2125
0,TFT,Random (0.5),3000010000800,2.2125,2.15,0.4625,0.475,0.225
0,TFT,Random (0.5),3000010000802,2.1,2.35,0.4875,0.4375,0.1625
0,TFT,Random (0.5),3000010000804,2.0875,2.4625,0.55,0.475,0.2625
0,TFT,Random (0.5),3000010000806,2.1,2.0375,0.375,0.3875,0.075
0,TFT,Random (0.5),3000010000808,2.275,2.275,0.525,0.525,0.3
0,TFT,Random (0.5),3000010000810,2.1875,2.1875,0.4625,0.4625,0.2
0,TFT,Random (0.5),3000010000812,2.225,2.35,0.5125,0.4875,0.2125
0,TFT,Random (0.5),3000010000814,2.3625,2.2375,0.525,0.55,0.3125
0,TFT,Random (0.5),3000010000816,2.1125,2.3625,0.5375,0.4875,0.3
0,TFT,Random (0.5),3000010000818,2.175,2.3,0.5375,0.5125,0.3375
0,TFT,Random (0.5),3000010000820,2.075,2.2,0.4625,0.4375,0.2125
0,TFT,Random (0.5),3000010000822,2.15,2.15,0.4625,0.4625,0.2375
0,TFT,Random (0.5),3000010000824,2.2125,2.2125,0.475,0.475,0.2125
0,TFT,Random (0.5),3000010000826,2.3875,2.3875,0.5625,0.5625,0.3
0,TFT,Random (0.5),3000010000828,2.325,2.3875,0.575,0.5625,0.35
0,TFT,Random (0.5),3000010000830,2.2125,2.2125,0.4875,0.4875,0.25
0,TFT,Random (0.5),3000010000832,2.3875,2.2625,0.5,0.525,0.2125
0,TFT,Random (0.5),3000010000834,1.875,1.9375,0.35,0.3375,0.125
0,TFT,Random (0.5),3000010000836,2.275,2.0875,0.4625,0.5,0.2625
0,TFT,Random (0.5),3000010000838,2.1,2.4125,0.55,0.4875,0.3
0,TFT,Tester,3000010001000,1.15,1.275,0.0875,0.0625,0.0125
0,TFT,Tester,3000010001002,1.1125,1.2375,0.075,0.05,0.0125
0,TFT,Tester,3000010001004,1.0375,1.475,0.1375,0.05,0.025
0,TFT,Tester,3000010001006,1.1125,1.3,0.1,0.0625,0.0375
