seed,regime,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,fixed,common_field,Tit For Tat,3000010000000,1.9,1.65,0.2625,0.3125,0.0875
0,fixed,common_field,Tit For Tat,3000010000002,1.925,1.7375,0.275,0.3125,0.05
0,fixed,common_field,Tit For Tat,3000010000004,1.9625,1.9,0.3125,0.325,0.025
0,fixed,common_field,Tit For Tat,3000010000006,1.925,1.7375,0.275,0.3125,0.05
0,fixed,common_field,Tit For Tat,3000010000008,1.8,1.8,0.275,0.275,0.025
0,fixed,common_field,Tit For Tat,3000010000010,1.975,1.6625,0.25,0.3125,0.025
0,fixed,common_field,Tit For Tat,3000010000012,2.0,1.75,0.275,0.325,0.025
0,fixed,common_field,Tit For Tat,3000010000014,1.925,1.925,0.325,0.325,0.05
0,fixed,common_field,Tit For Tat,3000010000016,1.8125,1.6875,0.2375,0.2625,0.0
0,fixed,common_field,Tit For Tat,3000010000018,2.0125,1.7,0.2625,0.325,0.025
0,fixed,common_field,Tit For Tat,3000010000020,1.775,1.65,0.2375,0.2625,0.0375
0,fixed,common_field,Tit For Tat,3000010000022,1.8625,1.55,0.2125,0.275,0.025
0,fixed,common_field,Tit For Tat,3000010000024,1.8625,1.55,0.2125,0.275,0.025
0,fixed,common_field,Tit For Tat,3000010000026,1.875,1.75,0.2625,0.2875,0.0125
0,fixed,common_field,Tit For Tat,3000010000028,1.8625,1.7375,0.2625,0.2875,0.025
0,fixed,common_field,Tit For Tat,3000010000030,1.7125,1.65,0.225,0.2375,0.0125
0,fixed,common_field,Tit For Tat,3000010000032,1.8375,1.9,0.3125,0.3,0.05
0,fixed,common_field,Tit For Tat,3000010000034,1.8,1.675,0.2375,0.2625,0.0125
0,fixed,common_field,Tit For Tat,3000010000036,1.925,1.6125,0.2375,0.3,0.0375
0,fixed,common_field,Tit For Tat,3000010000038,1.7875,1.6625,0.2375,0.2625,0.025
0,fixed,common_field,Always Defect,3000010000200,0.775,2.4,0.3625,0.0375,0.0125
0,fixed,common_field,Always Defect,3000010000202,0.925,2.3625,0.3625,0.075,0.0125
0,fixed,common_field,Always Defect,3000010000204,0.775,2.3375,0.35,0.0375,0.025
0,fixed,common_field,Always Defect,3000010000206,0.7625,2.3875,0.3625,0.0375,0.025
0,fixed,common_field,Always Defect,3000010000208,0.775,2.275,0.3375,0.0375,0.0375
0,fixed,common_field,Always Defect,3000010000210,0.7875,2.1625,0.3,0.025,0.0125
0,fixed,common_field,Always Defect,3000010000212,0.95,2.1375,0.3,0.0625,0.0
0,fixed,common_field,Always Defect,3000010000214,0.775,2.4,0.3625,0.0375,0.0125
0,fixed,common_field,Always Defect,3000010000216,0.975,2.0375,0.2875,0.075,0.0375
0,fixed,common_field,Always Defect,3000010000218,0.7625,2.2625,0.325,0.025,0.0125
0,fixed,common_field,Always Defect,3000010000220,0.9625,2.2125,0.3375,0.0875,0.05
0,fixed,common_field,Always Defect,3000010000222,0.8375,2.4,0.3625,0.05,0.0
0,fixed,common_field,Always Defect,3000010000224,1.0875,2.025,0.3,0.1125,0.0625
0,fixed,common_field,Always Defect,3000010000226,0.8375,2.4,0.3625,0.05,0.0
0,fixed,common_field,Always Defect,3000010000228,0.925,2.2375,0.325,0.0625,0.0
0,fixed,common_field,Always Defect,3000010000230,0.8,2.3625,0.3625,0.05,0.0375
0,fixed,common_field,Always Defect,3000010000232,0.675,2.425,0.3625,0.0125,0.0125
0,fixed,common_field,Always Defect,3000010000234,0.9375,2.3125,0.35,0.075,0.0125
0,fixed,common_field,Always Defect,3000010000236,0.7375,2.425,0.3625,0.025,0.0
0,fixed,common_field,Always Defect,3000010000238,0.8625,2.2375,0.325,0.05,0.0125
0,fixed,common_field,Grudger,3000010000400,0.9625,2.275,0.35,0.0875,0.0375
0,fixed,common_field,Grudger,3000010000402,1.0125,2.0125,0.275,0.075,0.0125
0,fixed,common_field,Grudger,3000010000404,0.875,2.1875,0.3125,0.05,0.0125
0,fixed,common_field,Grudger,3000010000406,1.025,2.0875,0.3,0.0875,0.025
0,fixed,common_field,Grudger,3000010000408,0.8875,2.325,0.3625,0.075,0.05
0,fixed,common_field,Grudger,3000010000410,1.125,2.25,0.35,0.125,0.025
0,fixed,common_field,Grudger,3000010000412,0.925,2.175,0.3125,0.0625,0.0125
0,fixed,common_field,Grudger,3000010000414,0.9125,1.975,0.2625,0.05,0.025
0,fixed,common_field,Grudger,3000010000416,1.225,1.9125,0.275,0.1375,0.05
0,fixed,common_field,Grudger,3000010000418,0.7875,2.4125,0.375,0.05,0.0375
0,fixed,common_field,Grudger,3000010000420,1.05,2.3625,0.375,0.1125,0.025
0,fixed,common_field,Grudger,3000010000422,1.0125,2.2625,0.3375,0.0875,0.0
0,fixed,common_field,Grudger,3000010000424,0.7125,2.3375,0.3375,0.0125,0.0
0,fixed,common_field,Grudger,3000010000426,0.8625,2.2375,0.325,0.05,0.0125
0,fixed,common_field,Grudger,3000010000428,0.8625,2.3,0.35,0.0625,0.0375
0,fixed,common_field,Grudger,3000010000430,0.9625,2.15,0.3125,0.075,0.025
0,fixed,common_field,Grudger,3000010000432,1.1,2.1625,0.3375,0.125,0.0625
0,fixed,common_field,Grudger,3000010000434,0.8875,2.325,0.3625,0.075,0.05
0,fixed,common_field,Grudger,3000010000436,0.9125,2.35,0.375,0.0875,0.0625
0,fixed,common_field,Grudger,3000010000438,0.9625,2.2125,0.3375,0.0875,0.05
0,fixed,common_field,Joss (0.9),3000010000600,1.775,1.8375,0.2875,0.275,0.0375
0,fixed,common_field,Joss (0.9),3000010000602,1.8375,1.7125,0.25,0.275,0.0125
0,fixed,common_field,Joss (0.9),3000010000604,2.075,1.7625,0.2875,0.35,0.0375
0,fixed,common_field,Joss (0.9),3000010000606,1.775,1.7125,0.2625,0.275,0.0625
0,fixed,common_field,Joss (0.9),3000010000608,1.8125,1.75,0.2625,0.275,0.025
0,fixed,common_field,Joss (0.9),3000010000610,1.85,1.85,0.3,0.3,0.05
0,fixed,common_field,Joss (0.9),3000010000612,1.925,1.8625,0.3125,0.325,0.0625
0,fixed,common_field,Joss (0.9),3000010000614,1.7375,1.8625,0.2875,0.2625,0.025
0,fixed,common_field,Joss (0.9),3000010000616,1.9125,1.7875,0.275,0.3,0.0125
0,fixed,common_field,Joss (0.9),3000010000618,1.6875,1.8125,0.275,0.25,0.0375
0,fixed,common_field,Joss (0.9),3000010000620,1.8375,1.65,0.2375,0.275,0.025
0,fixed,common_field,Joss (0.9),3000010000622,1.6875,1.75,0.25,0.2375,0.0125
0,fixed,common_field,Joss (0.9),3000010000624,1.8,1.925,0.3125,0.2875,0.0375
0,fixed,common_field,Joss (0.9),3000010000626,1.8625,1.8,0.275,0.2875,0.0125
0,fixed,common_field,Joss (0.9),3000010000628,1.825,1.7,0.25,0.275,0.025
0,fixed,common_field,Joss (0.9),3000010000630,1.8625,1.8625,0.3,0.3,0.0375
0,fixed,common_field,Joss (0.9),3000010000632,1.725,2.0375,0.3375,0.275,0.0375
0,fixed,common_field,Joss (0.9),3000010000634,1.8875,1.7,0.2625,0.3,0.05
0,fixed,common_field,Joss (0.9),3000010000636,1.7375,1.8625,0.2875,0.2625,0.025
0,fixed,common_field,Joss (0.9),3000010000638,1.8,1.8,0.275,0.275,0.025
0,fixed,common_field,Random (0.5),3000010000800,2.575,1.325,0.225,0.475,0.1
0,fixed,common_field,Random (0.5),3000010000802,2.3875,1.5125,0.2625,0.4375,0.1
0,fixed,common_field,Random (0.5),3000010000804,2.5375,1.35,0.2375,0.475,0.125
0,fixed,common_field,Random (0.5),3000010000806,2.1,1.725,0.3125,0.3875,0.1375
0,fixed,common_field,Random (0.5),3000010000808,2.8,1.2375,0.2125,0.525,0.0875
0,fixed,common_field,Random (0.5),3000010000810,2.5125,1.3875,0.2375,0.4625,0.1
0,fixed,common_field,Random (0.5),3000010000812,2.625,1.3125,0.225,0.4875,0.1
0,fixed,common_field,Random (0.5),3000010000814,2.8875,1.1375,0.2,0.55,0.1125
0,fixed,common_field,Random (0.5),3000010000816,2.6375,1.3875,0.2375,0.4875,0.075
0,fixed,common_field,Random (0.5),3000010000818,2.7875,1.1625,0.1875,0.5125,0.075
0,fixed,common_field,Random (0.5),3000010000820,2.475,1.2875,0.2,0.4375,0.075
0,fixed,common_field,Random (0.5),3000010000822,2.45,1.575,0.2875,0.4625,0.1125
0,fixed,common_field,Random (0.5),3000010000824,2.6375,1.2,0.1875,0.475,0.075
0,fixed,common_field,Random (0.5),3000010000826,2.8375,1.275,0.25,0.5625,0.1625
0,fixed,common_field,Random (0.5),3000010000828,2.8625,1.2375,0.2375,0.5625,0.15
0,fixed,common_field,Random (0.5),3000010000830,2.7,1.1375,0.175,0.4875,0.075
0,fixed,common_field,Random (0.5),3000010000832,2.6875,1.3125,0.25,0.525,0.1625
0,fixed,common_field,Random (0.5),3000010000834,1.9875,1.675,0.275,0.3375,0.0875
0,fixed,common_field,Random (0.5),3000010000836,2.6,1.5375,0.2875,0.5,0.1125
0,fixed,common_field,Random (0.5),3000010000838,2.675,1.3,0.2125,0.4875,0.0625
0,fixed,common_field,Tester,3000010001000,1.9375,1.8125,0.2875,0.3125,0.025
0,fixed,common_field,Tester,3000010001002,1.9375,1.6875,0.2625,0.3125,0.05
0,fixed,common_field,Tester,3000010001004,1.925,1.8,0.2875,0.3125,0.0375
0,fixed,common_field,Tester,3000010001006,1.8,1.8,0.275,0.275,0.025
0,fixed,common_field,Tester,3000010001008,1.825,1.8875,0.3,0.2875,0.025
0,fixed,common_field,Tester,3000010001010,2.025,1.775,0.3,0.35,0.075
0,fixed,common_field,Tester,3000010001012,1.8125,1.875,0.3,0.2875,0.0375
0,fixed,common_field,Tester,3000010001014,1.9,1.775,0.275,0.3,0.025
0,fixed,common_field,Tester,3000010001016,2.0875,1.775,0.3,0.3625,0.0625
0,fixed,common_field,Tester,3000010001018,1.825,1.6375,0.225,0.2625,0.0
0,fixed,common_field,Tester,3000010001020,2.1375,1.7,0.2625,0.35,0.0
