seed,regime,i,j,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation,mean_cooperation,mean_payoff
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000000,2.2375,1.425,0.2625,0.425,0.2,0.34375,1.8312499999999998
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000002,2.1125,1.6125,0.275,0.375,0.1125,0.325,1.8624999999999998
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000004,2.0875,1.65,0.2875,0.375,0.125,0.33125,1.86875
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000006,1.8125,1.75,0.3,0.3125,0.1375,0.30625,1.78125
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000008,2.125,1.5625,0.275,0.3875,0.15,0.33125000000000004,1.84375
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000010,1.8,1.675,0.2875,0.3125,0.1625,0.3,1.7375
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000012,1.95,1.6375,0.275,0.3375,0.125,0.30625,1.79375
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000014,1.4,2.15,0.3875,0.2375,0.1625,0.3125,1.775
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000016,2.175,1.425,0.2375,0.3875,0.1375,0.3125,1.7999999999999998
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000018,1.925,1.55,0.2375,0.3125,0.0875,0.275,1.7375
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000020,2.225,1.5375,0.2875,0.425,0.1875,0.35624999999999996,1.88125
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000022,1.7,1.8875,0.325,0.2875,0.125,0.30625,1.79375
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000024,2.0375,1.5375,0.2625,0.3625,0.15,0.3125,1.7875
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000026,1.85,1.6625,0.275,0.3125,0.125,0.29375,1.75625
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000028,2.0375,1.5375,0.225,0.325,0.0375,0.275,1.7875
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000030,2.0875,1.65,0.3125,0.4,0.2,0.35625,1.86875
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000032,1.775,1.65,0.2625,0.2875,0.1125,0.275,1.7125
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000034,1.925,1.675,0.275,0.325,0.1,0.30000000000000004,1.8
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000036,1.375,2.1875,0.3875,0.225,0.1375,0.30625,1.78125
0,fixed,0,1,"Memory-1(0.760809772842149, 0.0, 0.1893088517940442, 0.0, 0.5401925302679484)",3000000000038,1.9875,1.6125,0.2875,0.3625,0.175,0.32499999999999996,1.8
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000200,2.1,1.5375,0.2625,0.375,0.1375,0.31875,1.81875
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000202,2.4125,1.35,0.25,0.4625,0.1875,0.35625,1.88125
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000204,2.0875,1.5875,0.2875,0.3875,0.175,0.3375,1.8375
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000206,1.925,1.8,0.3375,0.3625,0.1875,0.35,1.8625
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000208,2.075,1.6375,0.3,0.3875,0.175,0.34375,1.8562500000000002
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000210,2.275,1.275,0.2125,0.4125,0.1625,0.3125,1.775
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000212,1.9875,1.6125,0.275,0.35,0.1375,0.3125,1.8
0,fixed,0,2,"Memory-1(0.9158103124916285, 0.01410988926257694, 0.09685090763201461, 0.07513669299830977, 0.6018878787363459)",3000000000214,2.2,1.5125,0.275,0.4125,0.175,0.34375,1.8562500000000002
