seed,regime,field_weight,field_matches,peer_matches,training_matches,training_seconds,evaluation_seconds,population_cooperation,population_mutual_cooperation,population_payoff,champion_field_payoff,champion_self_cooperation,champion_allc_payoff,champion_allc_cooperation,p0,pCC,pCD,pDC,pDD
0,fixed,1.0,24500,0,24500,3.7500353780051228,0.719636743015144,0.3365526315789474,0.16839473684210526,1.841263157894737,1.8346428571428572,0.301875,4.598125,0.095,0.6947327537604999,0.0,0.0,0.0,0.5069399824917646
0,mixed,0.5,24500,36750,61250,9.180698798008962,0.8428639929916244,0.0923125,0.0100625,1.266875,1.7636607142857144,0.093125,4.6293750000000005,0.08,0.1700100122748175,0.24538218491870473,0.04551000835138352,0.0,0.05497170661079243
1,fixed,1.0,24500,0,24500,5.623520611989079,1.1048448770015966,0.45369901315789474,0.2619177631578947,2.0991792763157893,1.8020535714285715,0.419375,4.13,0.344375,0.8650990816485709,0.058431965847877576,0.013054061674707107,0.4621087816049991,0.7678479542765813
1,mixed,0.5,24500,36750,61250,15.514802377001615,1.316952973982552,0.08788322368421053,0.00812171052631579,1.2555279605263159,1.76,0.059375,4.68125,0.06125,0.32437725366953063,0.17209653923767057,0.0,0.0,0.0
2,fixed,1.0,24500,0,24500,4.122613954998087,0.8391217440075707,0.38732565789473683,0.21804276315789473,1.9439342105263158,1.8491964285714286,0.354375,4.6206249999999995,0.08875,0.5526121740897857,0.048342023235179034,0.21430302610985724,0.0,0.645636291791432
2,mixed,0.5,24500,36750,61250,9.902708045003237,0.753372112987563,0.08714638157894737,0.011259868421052631,1.2501792763157895,1.7730357142857143,0.055625,4.665625,0.06625,0.6470767606120261,0.15759655977648843,0.0,0.0,0.0
3,fixed,1.0,24500,0,24500,4.862720970006194,0.8566106219950598,0.6510625,0.49462171052631576,2.4585657894736843,1.800892857142857,0.6675,3.504375,0.6475,0.3765253474650513,1.0,0.37752507233491966,0.12203196495423166,0.42657566015213666
3,mixed,0.5,24500,36750,61250,17.79704848700203,0.8749417999933939,0.41011677631578947,0.2669407894736842,1.9634095394736841,1.8385714285714285,0.425,3.8875,0.45,0.44877554363280187,1.0,0.3905956851625763,0.00466971154807775,0.17876847109776162
4,fixed,1.0,24500,0,24500,4.226714210992213,0.776637036993634,0.3172088815789474,0.1445263157894737,1.8071003289473684,1.8295535714285713,0.3575,4.528125,0.135625,0.16513228413953893,0.06681216666090897,0.10841253499032538,0.07756997426405474,0.6539122184842006
4,mixed,0.5,24500,36750,61250,10.885523803997785,0.7775916779937688,0.1045625,0.016648026315789474,1.2970394736842106,1.7592857142857143,0.103125,4.63375,0.083125,0.44262731215274265,0.4749701719706025,0.16028024141349492,0.0,0.03589947193794235
